Model,Encoded_Value,,,,,
EXPEDITION MAX 4X4,753,,,,,
EXPLORER AWD (EcoBoost),754,,,,,
T-150 WAGON,755,,,,,
T-150 WAGON FFV,756,,,,,
TRANSIT CONNECT VAN,757,,,,,
TRANSIT CONNECT WAGON TAXI,758,,,,,
CANYON,759,,,,,
CANYON 4WD,760,,,,,
SAVANA 2500 PASSENGER FFV,761,,,,,
SAVANA 3500 PASSENGER FFV,762,,,,,
TERRAIN FFV,763,,,,,
YUKON DENALI 4WD,764,,,,,
YUKON XL DENALI 4WD,765,,,,,
CIVIC Si,766,,,,,
CIVIC HYBRID,767,,,,,
PILOT 4WD,768,,,,,
ELANTRA,769,,,,,
ELANTRA COUPE,770,,,,,
GENESIS AWD,771,,,,,
GENESIS COUPE,772,,,,,
SANTA FE AWD,773,,,,,
SANTA FE SPORT AWD,774,,,,,
SANTA FE ULTIMATE AWD,775,,,,,
SONATA SPORT/LIMITED,776,,,,,
TUCSON AWD,777,,,,,
Q60,778,,,,,
Q60 AWD,779,,,,,
F-TYPE COUPE,780,,,,,
F-TYPE S COUPE,781,,,,,
F-TYPE V8 R COUPE,782,,,,,
XF AWD,783,,,,,
CHEROKEE FFV,784,,,,,
CHEROKEE 4X4 FFV,785,,,,,
RENEGADE,786,,,,,
RENEGADE FFV,787,,,,,
RENEGADE 4X4,788,,,,,
WRANGLER 4X4,789,,,,,
WRANGLER UNLIMITED 4X4,790,,,,,
K900,791,,,,,
SEDONA SX,792,,,,,
SEDONA SXL,793,,,,,
SORENTO AWD,794,,,,,
AVENTADOR ROADSTER,795,,,,,
